
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   9233 root      20   0 2676028 188148  25000 S  87.0   4.7   0:03.92 java
   8169 root      20   0 2747908 221644  25976 S  26.5   5.5   0:08.20 java
   8023 root      20   0 2759388 294680  26632 S   1.5   7.3   0:09.22 java
   8596 root      20   0 2907960 322612  26188 S   1.5   8.0   0:11.08 java
   8772 root      20   0 2781144 229056  26984 S   1.5   5.7   0:08.73 java
      1 root      20   0   94400   3016    876 S   0.0   0.1   0:00.16 systemd
     26 root      20   0   93912   4500   3508 S   0.0   0.1   0:00.39 systemd-journal
     28 root      20   0   88500   2076    636 S   0.0   0.1   0:00.58 systemd-udevd
     43 dbus      20   0   53976    892    336 S   0.0   0.0   0:00.11 dbus-daemon
     44 root      20   0   78528   2028   1084 S   0.0   0.1   0:00.03 sshd
     71 root      20   0   12148   2644   2016 S   0.0   0.1   0:00.16 bash
   2635 root      20   0   12148   2240   1648 S   0.0   0.1   0:00.07 bash
   8340 root      20   0 2700644 142912  25992 S   0.0   3.5   0:04.60 java
   9231 root      20   0   11884   2724   2496 S   0.0   0.1   0:00.00 top_record.sh
   9232 root      20   0   48920   3736   3200 R   0.0   0.1   0:00.00 top

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   9233 root      20   0 2676028 233348  24988 S  40.4   5.8   0:04.33 java
   8169 root      20   0 2747908 221680  25964 S  16.9   5.5   0:08.54 java
   8596 root      20   0 2907960 322716  26176 S   2.0   8.0   0:11.12 java
   8023 root      20   0 2759388 294668  26620 S   0.5   7.3   0:09.23 java
   8340 root      20   0 2700644 142900  25980 S   0.5   3.5   0:04.61 java
   8772 root      20   0 2781144 229044  26972 S   0.5   5.7   0:08.74 java
   9232 root      20   0   48920   3736   3200 R   0.5   0.1   0:00.01 top
      1 root      20   0   94400   2984    844 S   0.0   0.1   0:00.16 systemd
     26 root      20   0   93912   4500   3508 S   0.0   0.1   0:00.39 systemd-journal
     28 root      20   0   88500   2076    636 S   0.0   0.1   0:00.58 systemd-udevd
     43 dbus      20   0   53976    892    336 S   0.0   0.0   0:00.11 dbus-daemon
     44 root      20   0   78528   2028   1084 S   0.0   0.1   0:00.03 sshd
     71 root      20   0   12148   2644   2016 S   0.0   0.1   0:00.16 bash
   2635 root      20   0   12148   2240   1648 S   0.0   0.1   0:00.07 bash
   9231 root      20   0   11884   2724   2496 S   0.0   0.1   0:00.00 top_record.sh

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   9233 root      20   0 2681756 338112  24300 S  12.5   8.4   0:09.42 java
   8169 root      20   0 2747908 225724  25244 S  11.0   5.6   0:12.08 java
   8596 root      20   0 2907960 322124  25456 S   1.5   8.0   0:11.43 java
   8023 root      20   0 2759388 294212  25900 S   0.5   7.3   0:09.42 java
   8340 root      20   0 2700644 142196  25240 S   0.5   3.5   0:04.65 java
   8772 root      20   0 2781144 228584  26252 S   0.5   5.7   0:08.89 java
      1 root      20   0   94400   2140      0 S   0.0   0.1   0:00.16 systemd
     26 root      20   0   93912   3896   2904 S   0.0   0.1   0:00.39 systemd-journal
     28 root      20   0   88500   1652    212 S   0.0   0.0   0:00.58 systemd-udevd
     43 dbus      20   0   53976    556      0 S   0.0   0.0   0:00.11 dbus-daemon
     44 root      20   0   78528   2004   1060 S   0.0   0.0   0:00.03 sshd
     71 root      20   0   12148   2620   1992 S   0.0   0.1   0:00.16 bash
   2635 root      20   0   12148   2216   1624 S   0.0   0.1   0:00.07 bash
   9231 root      20   0   11884   2700   2472 S   0.0   0.1   0:00.00 top_record.sh
   9232 root      20   0   48920   3712   3176 R   0.0   0.1   0:00.02 top
