    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   6908 root      20   0 2674968 177328  25372 S  82.0   4.4   0:03.37 java
   5733 root      20   0 2755940 221364  26176 S  19.0   5.5   0:08.28 java
   5587 root      20   0 2761520 329364  26728 S   3.5   8.2   0:08.29 java
   6192 root      20   0 2912228 316000  26136 S   1.0   7.8   0:10.94 java
   6354 root      20   0 2779160 214688  27020 S   0.5   5.3   0:09.71 java
      1 root      20   0   94400   4196   2056 S   0.0   0.1   0:00.15 systemd
     26 root      20   0   93912   3776   2792 S   0.0   0.1   0:00.36 systemd-journal
     28 root      20   0   88500   2572   1132 S   0.0   0.1   0:00.58 systemd-udevd
     43 dbus      20   0   53976   1424    868 S   0.0   0.0   0:00.07 dbus-daemon
     44 root      20   0   78528   2052   1108 S   0.0   0.1   0:00.02 sshd
     71 root      20   0   12148   2596   1968 S   0.0   0.1   0:00.15 bash
   2635 root      20   0   12148   2244   1652 S   0.0   0.1   0:00.07 bash
   5905 root      20   0 2700940 143960  26060 S   0.0   3.6   0:04.94 java
   6906 root      20   0   11884   2788   2560 S   0.0   0.1   0:00.00 top_record.sh
   6907 root      20   0   48920   3736   3200 R   0.0   0.1   0:00.00 top

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   6908 root      20   0 2706364 341408  22872 S  40.9   8.5   0:09.90 java
   5733 root      20   0 2755940 230124  23624 S  10.6   5.7   0:12.42 java
   6192 root      20   0 2912228 313944  23584 S   0.5   7.8   0:11.32 java
   6354 root      20   0 2779160 220832  24468 S   0.5   5.5   0:09.89 java
      1 root      20   0   94400   3152   1012 S   0.0   0.1   0:00.15 systemd
     26 root      20   0   93912   3160   2176 S   0.0   0.1   0:00.36 systemd-journal
     28 root      20   0   88500   2116    676 S   0.0   0.1   0:00.58 systemd-udevd
     43 dbus      20   0   53976    964    408 S   0.0   0.0   0:00.07 dbus-daemon
     44 root      20   0   78528   2036   1092 S   0.0   0.1   0:00.02 sshd
     71 root      20   0   12148   2596   1968 S   0.0   0.1   0:00.15 bash
   2635 root      20   0   12148   2244   1652 S   0.0   0.1   0:00.07 bash
   5587 root      20   0 2761520 327120  24160 S   0.0   8.1   0:08.40 java
   5905 root      20   0 2700940 141916  23484 S   0.0   3.5   0:04.97 java
   6906 root      20   0   11884   2788   2560 S   0.0   0.1   0:00.00 top_record.sh
   6907 root      20   0   48920   3720   3184 R   0.0   0.1   0:00.02 top

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   6908 root      20   0 2694252 377400  22220 S  11.4   9.4   0:11.09 java
   5733 root      20   0 2755940 229480  22720 S   9.0   5.7   0:13.30 java
   5587 root      20   0 2761520 327124  23384 S   2.0   8.1   0:08.47 java
   6192 root      20   0 2912228 313040  22680 S   1.0   7.8   0:11.43 java
   6354 root      20   0 2779160 219980  23564 S   0.5   5.5   0:09.93 java
      1 root      20   0   94400   3064    924 S   0.0   0.1   0:00.15 systemd
     26 root      20   0   93912   3068   2084 S   0.0   0.1   0:00.36 systemd-journal
     28 root      20   0   88500   2080    640 S   0.0   0.1   0:00.58 systemd-udevd
     43 dbus      20   0   53976    892    336 S   0.0   0.0   0:00.07 dbus-daemon
     44 root      20   0   78528   2028   1084 S   0.0   0.1   0:00.02 sshd
     71 root      20   0   12148   2588   1960 S   0.0   0.1   0:00.15 bash
   2635 root      20   0   12148   2236   1644 S   0.0   0.1   0:00.07 bash
   5905 root      20   0 2700940 141028  22584 S   0.0   3.5   0:04.98 java
   6906 root      20   0   11884   2780   2552 S   0.0   0.1   0:00.00 top_record.sh
   6907 root      20   0   48920   3712   3176 R   0.0   0.1   0:00.02 top
